nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.312;"KALIMANTAN TENGAH"
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.355;"KALIMANTAN SELATAN"
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.351;"KALIMANTAN TIMUR"
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;-;"KALIMANTAN UTARA"
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.338;"SULAWESI UTARA"
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.33;"SULAWESI TENGAH"
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.38;"SULAWESI SELATAN"
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.363;"SULAWESI TENGGARA"
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.398;GORONTALO
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.325;"SULAWESI BARAT"
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.34;MALUKU
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.346;"MALUKU UTARA"
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.346;"PAPUA BARAT"
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.422;PAPUA
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.376;INDONESIA
"Gini Rasio";Perkotaan;2008;Tahunan;0.301;ACEH
"Gini Rasio";Perkotaan;2008;Tahunan;0.335;"SUMATERA UTARA"
"Gini Rasio";Perkotaan;2008;Tahunan;0.304;"SUMATERA BARAT"
"Gini Rasio";Perkotaan;2008;Tahunan;0.325;RIAU
"Gini Rasio";Perkotaan;2008;Tahunan;0.297;JAMBI
"Gini Rasio";Perkotaan;2008;Tahunan;0.316;"SUMATERA SELATAN"
